n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,mean_m2,sd_m2,sd_logloger,mean_alpha_max,sd_alpha_max,pool,q,replicate
280,0.9886367429117102,0.15032428468123504,0.022597390564924998,0.9615207373271889,0,6.379377839316192e-07,0.009350041604713253,0.013398886495259924,2184,3619560,0.0006033882571362265,4.960652496292634,1.1895038834146276,0.019341560407358384,3.653625951440188,0.5109808612621716,loose,17,2
280,0.9968708703790603,0.07904725036138154,0.006248467789694934,0.9900921658986175,0,1.6641035436304463e-06,0.012298527648756483,0.017478579251365412,35,3619560,9.669683607952348e-06,1.112555610479486,0.3649640268920107,0.025050859929413447,1.961073768150921,0.5012469445291012,m2matched,17,0
280,0.9966886507894861,0.08131256598726823,0.00661173338743385,0.9902457757296467,0,6.772377525443574e-08,0.011262322870641992,0.01600885873996434,40,3619560,1.105106698051697e-05,1.0697478991596638,0.30024619330619906,0.022765541179584323,1.9342216096647555,0.4543961271139252,m2matched,17,1
280,0.9970234516781914,0.07709887679924503,0.005944236803705164,0.9904249871991807,0,1.1502086327830341e-07,0.011746269447329772,0.01669115910510706,130,3619560,3.591596768668015e-05,1.094142362827484,0.32736354123072625,0.023914135141726394,1.8935102726050852,0.4744713365627979,m2matched,17,2
280,0.9967075571900185,0.08108048742025399,0.006574045440305967,0.990552995391705,0,7.136853195088833e-07,0.012023556094380047,0.017090591531425028,160,3619560,4.420426792206788e-05,1.0055610479485912,0.3295992594875453,0.024320439926830088,1.83027777036347,0.47131953793868664,marginal,17,0
280,0.9962490168621729,0.08653263200177033,0.0074878964011538054,0.9897593445980543,0,4.1455176802429605e-07,0.011776664868977318,0.01674735870737861,112,3619560,3.094298754544751e-05,1.0320316361838853,0.330697634896105,0.023848357145350687,1.8588623261713235,0.4648219269456937,marginal,17,1
280,0.9966637117919465,0.08161767943956516,0.006661445597099617,0.9912442396313365,0,7.982621763602538e-07,0.01174926836584508,0.01670144660785515,68,3619560,1.8786813866878848e-05,1.029708353929807,0.3298681673037143,0.023799957936200957,1.8311439690243139,0.4632049476521292,marginal,17,2
280,0.9975342992380952,0.07018063724106692,0.004925321843562229,0.9919866871479774,0,1.3612952587394034e-07,0.009069488060256762,0.01288091895932898,13,3619560,3.591596768668015e-06,1.0962679189322788,0.20313417231730857,0.018416724012750723,1.9783977413678018,0.37491895883013987,sigshuffle,17,0
280,0.997647125131208,0.06855810468089224,0.00470021371743618,0.9901689708141321,0,3.2161902252525465e-08,0.009509339032169922,0.013504088884565347,7,3619560,1.9339367215904696e-06,1.0979485912011864,0.19702332919577167,0.019304272001746694,1.961073768150921,0.3867399993934586,sigshuffle,17,1
280,0.9974960480851743,0.07072223168466936,0.005001634054460052,0.9906810035842294,0,1.6864294427598736e-07,0.009356759529702142,0.013289425176466363,10,3619560,2.7627667451292424e-06,1.0888531883341572,0.21373520958623354,0.019027374759660754,1.9506793842207923,0.380039171545202,sigshuffle,17,2
280,0.9954673853317808,0.0951035474664738,0.009044684740707834,0.9880696364567332,0,1.1471240779492575e-06,0.010856144599500996,0.01545042732113535,78,3619560,2.154958061200809e-05,1.0853929807217004,0.3285458259121067,0.021921107110389283,1.9212286297520944,0.4358589097353389,maxmatched,17,0
280,0.9954909808889756,0.09485624369911251,0.00899770696870542,0.9873271889400922,0,3.0028557089778474e-06,0.011038211765566925,0.015709172325659725,251,3619560,6.934544530274399e-05,1.1269896193771627,0.3418852473784735,0.022430848711920335,1.9168976364478745,0.4349240319474496,maxmatched,17,1
280,0.9961966559063012,0.08713336192930174,0.007592222761102689,0.9890168970814132,0,4.63735853273306e-07,0.011880963323001646,0.016896567496668194,186,3619560,5.1387461459403907e-05,1.1221453287197232,0.3584771507965471,0.024175570833678647,1.906503252517746,0.4797513048713993,maxmatched,17,2
280,0.9960399087516794,0.08890725602528977,0.007904500173946427,0.9907066052227342,0,9.56477831604019e-07,0.009553459432678721,0.01358863507700165,105,3619560,2.9009050823857045e-05,1.056766917293233,0.286385983292322,0.01935663270154278,1.9434790026463304,0.4130783547646627,arithmetic,19,0
