n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,pool,q,replicate
296,0.9956806112236828,0.09284460368396878,0.008620120433233229,0.983623453962437,0,4.770547863408581e-07,0.016737282013283346,0.023813033828698697,79,4278680,1.846363831835987e-05,control:marginal,11,2
296,0.9962468925741222,0.08655708542000004,0.007492129036405183,0.9840815391662849,0,3.730392021950024e-07,0.017177845663152645,0.024425955526831526,57,4278680,1.3321865622107752e-05,control:marginal,11,3
296,0.9959118503794194,0.09033042828327878,0.008159586273840572,0.9824324324324324,0,1.4218310212532614e-06,0.016661448716224117,0.023699637648611174,62,4278680,1.4490450325801416e-05,control:marginal,11,4
296,0.996675905440428,0.08146864129530607,0.00663713951450325,0.9803710490151168,0,1.502996359592501e-07,0.013401630373350992,0.019048181546060017,47,4278680,1.0984696214720427e-05,control:sigshuffle,11,0
296,0.9966986897268348,0.08118941985758103,0.006591721896810572,0.976271186440678,0,3.248478674944266e-08,0.013543176100217241,0.019248925144493802,60,4278680,1.402301644432395e-05,control:sigshuffle,11,1
296,0.9972274874365221,0.07441329384620286,0.005537338301041334,0.9796152084287677,0,1.2967108953265694e-07,0.014669902210930813,0.020839285443937376,45,4278680,1.0517262333242963e-05,control:sigshuffle,11,2
296,0.9967340364876925,0.08075432190880663,0.006521260506951167,0.9793174530462666,0,2.849068225785345e-08,0.013566605508221403,0.019281541580112253,164,4278680,3.832957828115213e-05,control:sigshuffle,11,3
296,0.9967522985033813,0.08052860006374113,0.006484855428225967,0.9800045808520385,0,1.6856231743744843e-07,0.013884671970813396,0.0197332320727635,105,4278680,2.4540278777566914e-05,control:sigshuffle,11,4
296,0.9951931942970562,0.09793112898778362,0.009590506024821916,0.9832340815391662,0,6.620645127686231e-07,0.016728887534310507,0.023812747638478828,147,4278680,3.435639028859368e-05,control:maxmatched,11,0
296,0.9954549321088811,0.0952338077580808,0.00906947814010309,0.9839899221255154,0,2.704185333102238e-06,0.01662472740325386,0.023658258651378508,102,4278680,2.3839127955350715e-05,control:maxmatched,11,1
296,0.994893330994605,0.10093195699311244,0.010187259942459498,0.9819285387081997,0,2.3567830874648976e-06,0.01663382178665014,0.023684562662559167,261,4278680,6.1000121532809185e-05,control:maxmatched,11,2
296,0.9955173946375132,0.09457862852747251,0.008945116974137635,0.9825698579935868,0,2.4175933809322814e-06,0.016798065317732775,0.0239034318757001,83,4278680,1.9398506081314797e-05,control:maxmatched,11,3
296,0.9953456983400075,0.09636877500540694,0.009286940796042746,0.9834402198808978,0,9.442206916343565e-07,0.016691339506583164,0.023755659537461643,130,4278680,3.0383202296035226e-05,control:maxmatched,11,4
698,0.9963668385656137,0.08516526878231724,0.007253123006764339,0.9865078745174777,0,2.487801293860059e-07,0.015134926661977082,0.021497471220102208,1475,56434696,2.613640374708495e-05,arithmetic,13,0
698,0.9912545638286709,0.13196359228526414,0.017414389688831425,0.959540067337299,0,1.0256483351511747e-07,0.013981784856684679,0.01996198548271573,31587,56434696,0.0005597088712943541,control:loose,13,0
698,0.9913886271769201,0.13095262465587057,0.017148589904261317,0.9599347181740822,0,3.4114866598322635e-08,0.014188723575923521,0.02025469535342461,31783,56434696,0.0005631819120634582,control:loose,13,1
698,0.9913012250233786,0.1316126181912243,0.017321881267148984,0.9595277344986496,0,1.0630199254180184e-07,0.014080408307051304,0.02010184528027684,32034,56434696,0.0005676295305994029,control:loose,13,2
698,0.9917636378123877,0.12808156273695134,0.016404886713139607,0.959975827636247,0,3.8295472348792714e-08,0.01473767784940967,0.02103038377141201,32092,56434696,0.0005686572671535255,control:loose,13,3
698,0.9914085047910699,0.13080205131394299,0.017109176627935378,0.959338630972691,0,1.280793467950403e-07,0.013992669064008579,0.019974423004052243,28892,56434696,0.0005119545607191717,control:loose,13,4
698,0.9971833657045093,0.07500223438156083,0.005625335162226583,0.9849087164392628,0,5.276642300877654e-08,0.015243779640039203,0.021634355253385175,677,56434696,1.1996166330017974e-05,control:m2matched,13,0
698,0.9967063287717577,0.0810955867253178,0.00657649418632354,0.9865736496569415,0,5.350073539744926e-08,0.015050422864448755,0.021370161608214373,1357,56434696,2.4045491447318154e-05,control:m2matched,13,1
698,0.9965605243425335,0.08286809592439742,0.006867121322135133,0.9861173346269111,0,4.763976302335493e-08,0.014584249062078829,0.020711269150124702,1237,56434696,2.1919139956029887e-05,control:m2matched,13,2
698,0.9962234865246735,0.08682606116036619,0.007538764896623651,0.9850073791484586,0,2.4192734693340157e-07,0.014840102791408835,0.02108174000393605,2215,56434696,3.924890461002926e-05,control:m2matched,13,3
698,0.9966960560331549,0.0812217451668827,0.006596971887954033,0.9863146600453027,0,9.34883672698561e-08,0.01468375651943658,0.020849745344313508,628,56434696,1.1127906137741932e-05,control:m2matched,13,4
698,0.9966146782205,0.08221425153493164,0.00675918315544901,0.9854472503936231,0,9.485040664003463e-08,0.015724013069801313,0.022328648498346055,928,56434696,1.64437848659626e-05,control:marginal,13,0
