q,signature,orbits,orbits_deg5,orbits_deg6
11,18 14 13 12 12 10 10 10 8 8 6,9,1,8
11,18 14 13 12 12 12 11 10 7 6 6,5,1,4
11,18 14 13 13 11 11 11 9 9 8 4,6,3,3
11,18 14 13 13 12 12 10 10 9 7 3,2,0,2
11,18 14 14 12 11 11 9 9 8 8 7,4,0,4
11,18 14 14 13 12 11 11 10 7 7 4,2,0,2
11,18 14 14 13 12 12 12 9 8 6 3,1,1,0
11,18 14 14 13 13 10 9 8 8 8 6,3,0,3
11,18 14 14 14 11 10 10 9 8 7 6,4,0,4
11,18 14 14 14 12 11 10 8 8 8 4,3,0,3
11,18 14 14 14 12 12 11 10 6 5 5,1,0,1
11,18 14 14 14 13 12 12 9 8 6 1,1,0,1
11,18 15 12 12 12 11 10 10 10 6 5,1,0,1
11,18 15 13 12 10 10 10 9 9 9 6,9,2,7
11,18 15 13 13 11 10 10 10 9 7 5,8,2,6
11,18 15 13 13 12 12 12 10 9 5 2,1,0,1
11,18 15 14 12 12 12 11 8 7 7 5,5,1,4
11,18 15 14 13 12 11 10 9 8 6 5,13,1,12
11,18 15 14 13 13 13 10 9 8 4 4,1,0,1
11,18 15 14 14 12 11 10 8 8 8 3,3,0,3
11,18 15 14 14 13 10 10 10 6 6 5,1,0,1
11,18 15 15 12 11 11 10 9 8 8 4,1,0,1
11,18 15 15 13 12 10 10 8 7 7 6,2,0,2
11,18 15 15 14 11 10 10 10 8 6 4,3,0,3
11,18 15 15 14 12 12 8 8 7 6 6,1,0,1
11,18 16 12 12 11 11 10 10 8 8 5,2,0,2
11,18 16 12 12 12 11 10 10 10 6 4,2,0,2
11,18 16 13 11 10 10 9 9 9 8 8,9,3,6
11,18 16 13 13 12 12 9 8 7 7 6,3,0,3
11,18 16 14 11 11 11 10 10 10 8 2,1,0,1
11,18 16 14 12 10 10 10 9 8 7 7,7,0,7
11,18 16 14 12 12 12 11 8 7 7 4,2,0,2
11,18 16 14 13 11 11 9 8 8 8 5,1,0,1
11,18 16 14 13 12 11 10 9 8 6 4,6,0,6
11,18 16 14 13 13 12 10 10 8 5 2,1,0,1
11,18 16 14 14 13 10 10 10 6 6 4,2,1,1
11,18 16 14 14 14 10 9 9 9 6 2,2,1,1
11,18 16 14 14 14 13 12 10 4 4 2,1,0,1
11,18 16 15 12 12 12 9 8 8 6 5,1,0,1
11,18 16 15 13 11 10 8 8 8 7 7,1,0,1
11,18 16 15 13 12 11 10 9 8 6 3,1,0,1
11,18 16 15 14 11 11 11 8 7 6 4,1,0,1
11,18 16 15 14 12 12 10 9 7 4 4,1,0,1
11,18 16 15 15 13 12 10 8 5 5 4,1,0,1
11,18 16 15 15 14 12 9 6 6 5 5,2,1,1
11,18 16 16 12 12 10 9 9 7 6 6,2,0,2
11,18 16 16 12 12 12 9 8 8 6 4,1,1,0
11,18 16 16 14 12 10 8 8 8 6 5,7,1,6
11,18 17 12 12 12 11 10 10 10 5 4,1,1,0
11,18 17 13 12 12 10 10 10 8 8 3,1,0,1
11,18 17 13 13 11 10 10 8 8 7 6,3,0,3
11,18 17 14 12 12 10 10 10 8 8 2,2,0,2
11,18 17 14 12 12 12 11 10 7 6 2,1,0,1
11,18 17 14 13 12 11 8 8 8 6 6,4,2,2
11,18 17 14 13 12 11 10 9 8 5 4,2,0,2
11,18 17 14 14 11 10 10 9 8 7 3,2,1,1
11,18 17 15 12 10 9 9 8 8 8 7,4,1,3
11,18 17 15 12 12 11 11 8 6 6 5,2,1,1
11,18 17 16 11 10 10 10 9 8 6 6,3,1,2
11,18 17 16 15 13 10 8 7 6 6 5,1,0,1
11,18 17 17 13 12 11 8 8 8 6 3,1,1,0
11,18 17 17 14 12 10 9 7 7 6 4,1,0,1
11,18 17 17 16 15 10 8 7 6 5 2,1,0,1
11,18 18 12 11 11 11 10 9 8 7 6,3,2,1
11,18 18 14 12 10 10 10 9 8 7 5,1,0,1
11,18 18 14 13 12 9 9 9 8 7 4,2,0,2
11,18 18 15 14 12 10 9 7 6 6 6,1,0,1
11,18 18 16 13 12 11 10 7 6 5 5,2,1,1
11,18 18 17 14 14 14 8 7 5 4 2,1,0,1
11,18 18 18 17 12 10 10 8 4 4 2,1,0,1
11,19 13 12 12 12 11 10 9 8 8 7,16,2,14
11,19 14 12 11 11 10 10 10 9 9 6,3,0,3
11,19 14 13 12 12 10 10 10 8 7 6,8,2,6
11,19 14 14 12 12 12 10 10 9 5 4,1,0,1
11,19 14 14 13 13 10 9 8 8 7 6,2,0,2
11,19 14 14 14 11 10 10 9 7 7 6,3,1,2
11,19 14 14 14 12 11 10 8 8 7 4,3,0,3
11,19 15 13 12 12 10 10 9 9 8 4,1,0,1
11,19 15 14 12 12 10 9 9 9 6 6,2,1,1
11,19 15 14 13 12 12 11 8 8 5 4,2,1,1
11,19 16 12 12 11 11 10 10 8 7 5,4,0,4
11,19 16 13 11 10 10 9 9 9 8 7,6,0,6
11,19 16 14 12 10 10 10 9 7 7 7,3,1,2
11,19 16 14 12 11 11 11 10 8 6 3,2,0,2
11,19 16 14 13 10 10 10 9 8 8 4,3,1,2
11,19 16 14 13 12 11 10 9 7 6 4,1,0,1
11,19 16 14 14 14 11 10 9 5 5 4,1,1,0
11,19 16 15 12 11 10 10 8 8 6 6,3,0,3
11,19 16 15 14 10 10 10 9 8 8 2,1,0,1
11,19 16 16 12 11 10 10 10 9 4 4,1,0,1
11,19 16 16 14 13 11 9 6 6 6 5,1,0,1
11,19 17 13 12 12 12 10 9 6 6 5,1,0,1
11,19 17 16 12 11 10 10 8 8 6 4,1,0,1
11,19 18 13 13 11 10 10 8 7 6 6,1,0,1
11,19 18 14 12 12 10 10 10 8 6 2,1,0,1
11,19 18 15 14 12 12 8 7 6 6 4,1,0,1
11,19 18 16 11 10 10 10 9 6 6 6,1,0,1
11,19 18 18 13 11 10 8 8 7 5 4,1,0,1
11,19 19 14 14 13 10 9 8 7 6 2,1,0,1
11,20 13 12 12 12 11 10 8 8 8 7,3,1,2
11,20 13 13 12 12 11 11 9 8 6 6,1,0,1
11,20 14 12 11 11 10 10 10 9 8 6,4,2,2
11,20 14 12 12 12 11 11 11 8 6 4,1,0,1
11,20 14 13 13 12 11 10 9 9 8 2,2,1,1
11,20 14 14 12 12 12 10 10 8 5 4,1,0,1
11,20 14 14 13 12 12 12 8 7 6 3,1,0,1
11,20 14 14 13 13 10 8 8 8 7 6,1,0,1
11,20 15 13 11 11 11 10 8 8 8 6,1,0,1
11,20 15 13 12 10 10 10 9 9 7 6,3,0,3
11,20 15 14 12 12 10 9 9 8 6 6,1,0,1
11,20 15 14 14 13 13 9 7 6 6 4,1,0,1
