q,signature,pencils,distinct_isogeny_multisets
11,18 14 13 13 11 11 11 9 9 8 4,6,6
11,18 14 13 13 12 12 10 10 9 7 3,2,2
11,18 14 14 12 11 11 9 9 8 8 7,4,4
11,18 14 14 13 12 11 11 10 7 7 4,2,2
11,18 14 14 13 13 10 9 8 8 8 6,3,3
11,18 14 14 14 11 10 10 9 8 7 6,4,4
11,18 14 14 14 12 11 10 8 8 8 4,3,3
11,18 15 13 12 10 10 10 9 9 9 6,9,9
11,18 15 13 13 11 10 10 10 9 7 5,8,8
11,18 15 14 12 12 12 11 8 7 7 5,5,5
11,18 15 14 13 12 11 10 9 8 6 5,13,13
11,18 15 14 14 12 11 10 8 8 8 3,3,3
11,18 15 15 13 12 10 10 8 7 7 6,2,2
11,18 15 15 14 11 10 10 10 8 6 4,3,3
11,18 16 12 12 11 11 10 10 8 8 5,2,2
11,18 16 12 12 12 11 10 10 10 6 4,2,2
11,18 16 13 11 10 10 9 9 9 8 8,9,9
11,18 16 13 13 12 12 9 8 7 7 6,3,3
11,18 16 14 12 10 10 10 9 8 7 7,7,7
11,18 16 14 12 12 12 11 8 7 7 4,2,2
11,18 16 14 13 12 11 10 9 8 6 4,6,6
11,18 16 14 14 13 10 10 10 6 6 4,2,2
11,18 16 14 14 14 10 9 9 9 6 2,2,2
11,18 16 15 15 14 12 9 6 6 5 5,2,2
11,18 16 16 12 12 10 9 9 7 6 6,2,2
11,18 16 16 14 12 10 8 8 8 6 5,7,7
11,18 17 13 13 11 10 10 8 8 7 6,3,3
11,18 17 14 12 12 10 10 10 8 8 2,2,2
11,18 17 14 13 12 11 8 8 8 6 6,4,4
11,18 17 14 13 12 11 10 9 8 5 4,2,2
11,18 17 14 14 11 10 10 9 8 7 3,2,2
11,18 17 15 12 10 9 9 8 8 8 7,4,4
11,18 17 15 12 12 11 11 8 6 6 5,2,2
11,18 17 16 11 10 10 10 9 8 6 6,3,3
11,18 18 12 11 11 11 10 9 8 7 6,3,3
11,18 18 14 13 12 9 9 9 8 7 4,2,2
11,18 18 16 13 12 11 10 7 6 5 5,2,2
11,19 13 12 12 12 11 10 9 8 8 7,16,16
11,19 14 12 11 11 10 10 10 9 9 6,3,3
11,19 14 13 12 12 10 10 10 8 7 6,8,8
11,19 14 14 13 13 10 9 8 8 7 6,2,2
11,19 14 14 14 11 10 10 9 7 7 6,3,3
11,19 14 14 14 12 11 10 8 8 7 4,3,3
11,19 15 14 12 12 10 9 9 9 6 6,2,2
11,19 15 14 13 12 12 11 8 8 5 4,2,2
11,19 16 12 12 11 11 10 10 8 7 5,4,4
11,19 16 13 11 10 10 9 9 9 8 7,6,6
11,19 16 14 12 10 10 10 9 7 7 7,3,3
11,19 16 14 12 11 11 11 10 8 6 3,2,2
11,19 16 14 13 10 10 10 9 8 8 4,3,3
11,19 16 15 12 11 10 10 8 8 6 6,3,3
11,20 13 12 12 12 11 10 8 8 8 7,3,3
11,20 14 12 11 11 10 10 10 9 8 6,4,4
11,20 14 13 13 12 11 10 9 9 8 2,2,2
11,20 15 13 12 10 10 10 9 9 7 6,3,3
11,20 16 13 12 12 12 10 8 6 6 6,2,2
11,20 16 14 12 11 9 9 8 8 8 6,2,2
11,20 17 13 12 10 10 10 9 9 7 4,3,3
11,21 10 10 10 10 10 10 10 10 10 10,3,3
11,21 14 13 12 12 10 10 8 8 7 6,3,3
11,21 15 12 12 12 11 10 10 7 6 5,2,2
13,13 13 13 13 13 13 13 13 13 13 13 13 13,7,4
13,15 15 15 15 14 14 13 13 13 12 12 9 9,54,54
13,16 16 16 14 14 14 13 13 13 11 11 11 7,8,8
13,16 16 16 15 15 14 14 13 12 12 11 8 7,19,19
13,16 16 16 15 15 14 14 14 13 13 10 10 3,6,6
13,16 16 16 15 15 15 13 11 11 11 10 10 10,8,8
13,16 16 16 16 13 13 13 13 12 12 12 12 5,9,9
13,16 16 16 16 15 14 14 14 13 13 10 10 2,2,2
13,16 16 16 16 15 15 14 14 11 11 11 7 7,4,4
13,17 15 15 15 15 12 12 12 12 11 11 11 11,26,26
13,17 16 15 15 15 14 13 13 13 12 11 8 7,8,8
13,17 16 16 15 14 13 13 13 12 11 10 10 9,18,18
13,17 16 16 15 14 14 13 13 12 12 11 10 6,59,59
13,17 16 16 15 15 13 13 13 13 12 10 9 7,18,18
13,17 16 16 15 15 15 14 13 12 12 9 9 6,8,8
13,17 16 16 15 15 15 15 14 14 9 9 7 7,2,2
13,17 16 16 16 15 14 13 13 13 11 11 8 6,6,6
13,17 16 16 16 15 14 14 14 13 12 9 8 5,2,2
13,17 16 16 16 15 15 15 12 11 10 10 9 7,10,10
13,17 16 16 16 15 15 15 14 12 10 9 8 6,3,3
