n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,pool,q,replicate
16,0.9960668079731142,0.08860538388975794,0.007850914054251378,0.9916666666666667,0,0.00019697317550071425,0.015075452122969141,0.022106054537022506,0,560,0.0,control:sigshuffle,11,0
16,0.9972658275651157,0.0738976939482187,0.005460869170864599,1.0,0,2.744157359346744e-06,0.014618885342668763,0.02141078950450251,0,560,0.0,control:sigshuffle,11,1
16,0.9973762183280586,0.07239253493020259,0.005240679113620602,0.975,0,0.00018897820216401406,0.011415459520463888,0.016717208127344365,0,560,0.0,control:sigshuffle,11,2
16,0.9982228707586155,0.05959110918944369,0.003551100294428201,0.9666666666666667,0,0.00012447395776982173,0.016246930908218497,0.023772408104672047,0,560,0.0,control:sigshuffle,11,3
16,0.9969445787015205,0.07811214372712758,0.006101506997647437,0.9833333333333333,0,0.0001467752138875067,0.012524554040619106,0.018349347041067957,0,560,0.0,control:sigshuffle,11,4
16,0.9972214648773864,0.07449395940477031,0.005549349987799567,0.9583333333333334,0,1.410161346426797e-05,0.013522880604535725,0.01980646428882346,1,560,0.0017857142857142857,control:sigshuffle,11,5
16,0.9966657444110979,0.08159285457361962,0.006657393917471841,0.975,0,0.00014520985848232026,0.017448416116508388,0.02557030085118519,0,560,0.0,control:sigshuffle,11,6
16,0.9936806417692561,0.11224429683970319,0.012598782173039405,0.975,0,5.329352816096922e-05,0.010923809327542515,0.016056712874207985,0,560,0.0,control:sigshuffle,11,7
16,0.9940056059188458,0.10932911506962807,0.011952855401907977,0.9833333333333333,0,0.0006428760281476098,0.012809323599093547,0.01882204135088712,0,560,0.0,control:maxmatched,11,0
16,0.9884050100393401,0.1518404956825805,0.023055536129131755,0.9916666666666667,0,0.0002556599056657838,0.010448704438757667,0.015440340237541953,0,560,0.0,control:maxmatched,11,1
16,0.9961701550400497,0.08743581764633544,0.007645022207483224,0.9916666666666667,0,0.0005350327862587712,0.016541446968578923,0.024253215758712424,0,560,0.0,control:maxmatched,11,2
16,0.9980164278538287,0.0629540287343357,0.003963209733883565,0.9916666666666667,0,0.0002724535495549629,0.015738522428849763,0.023033271505345232,0,560,0.0,control:maxmatched,11,3
16,0.9943709801608679,0.10595448935233778,0.011226353813914661,0.9916666666666667,0,0.00020172009439400895,0.014356061952665922,0.021087070118490918,0,560,0.0,control:maxmatched,11,4
16,0.9959936870299395,0.08942357293525505,0.00799657539650688,0.9833333333333333,0,1.53125597686099e-05,0.020923945226693684,0.03068430905912807,0,560,0.0,control:maxmatched,11,5
16,0.998335757878828,0.05766900849248557,0.0033257145405063727,0.9833333333333333,0,0.000304343633124593,0.01949552386132569,0.028522503523039783,0,560,0.0,control:maxmatched,11,6
16,0.9936099557800644,0.11286831165007513,0.012739255774738485,0.9916666666666667,0,0.00039248674982639287,0.017445209838295794,0.025644227612015288,0,560,0.0,control:maxmatched,11,7
24,0.9970430221002302,0.07684537774804542,0.005905212081239794,0.9782608695652174,0,1.606970998113688e-05,0.016926642861802867,0.024525260743560207,0,2024,0.0,arithmetic,11,0
24,0.9980121981887122,0.06302104621897622,0.003971652266534338,0.9746376811594203,0,1.830711663641793e-05,0.019729678390880682,0.028558859322618257,0,2024,0.0,arithmetic,11,1
24,0.9973555224180861,0.07267710713936383,0.005281961902146568,0.9855072463768116,0,4.2962255919487546e-07,0.014667921787013012,0.02124590765439829,0,2024,0.0,arithmetic,11,2
24,0.9922363432350567,0.12436655162672478,0.0154670391635228,0.9927536231884058,0,6.0065036185386056e-05,0.01314960800040726,0.019144956191117515,0,2024,0.0,arithmetic,11,3
24,0.993782308609193,0.11134057254829795,0.012396723095382799,0.9818840579710145,0,1.295555174252172e-07,0.015711702775561574,0.022839610554707724,0,2024,0.0,arithmetic,11,4
24,0.9949309619403023,0.10056033498623955,0.010112380972544716,0.9746376811594203,0,0.0004187344353181466,0.015494708630804741,0.022498168675306945,0,2024,0.0,arithmetic,11,5
24,0.993893913567825,0.11033987752772391,0.012174888572833114,0.9782608695652174,0,0.00039041163816500024,0.015019266135065254,0.02183058543825538,0,2024,0.0,arithmetic,11,6
24,0.9960603119980925,0.08867837877556795,0.007863854862263101,0.9855072463768116,0,2.3066979762065287e-05,0.017689651268381488,0.025656082063487858,0,2024,0.0,arithmetic,11,7
24,0.9894832404635178,0.14464756078764882,0.02092291684181656,0.967391304347826,0,0.0003921961360260351,0.016523106215498354,0.02412347968356986,1,2024,0.0004940711462450593,control:loose,11,0
24,0.9888242281844403,0.14908603474318521,0.02222664575544623,0.9384057971014492,0,0.0002303479075109749,0.017846662439413623,0.026073216508224372,0,2024,0.0,control:loose,11,1
24,0.9963651455305811,0.08518507364452957,0.007256496771823926,0.9637681159420289,0,0.00026441486584816154,0.021873947305775097,0.0317150452551001,0,2024,0.0,control:loose,11,2
24,0.994950068236256,0.10037111993332332,0.010074361716669573,0.9746376811594203,0,0.0003139914930345711,0.018832096567808293,0.027343498932300373,0,2024,0.0,control:loose,11,3
24,0.9900447880634055,0.14075268249126438,0.019811317628486685,0.9855072463768116,0,3.55554063727892e-05,0.013493845433747811,0.01968963158275065,0,2024,0.0,control:loose,11,4
24,0.996341888629333,0.0854566613116491,0.007302840962533904,0.9818840579710145,0,0.00013583411041784288,0.022900608580971385,0.03320437691117701,0,2024,0.0,control:loose,11,5
24,0.9928462665376371,0.11939971114820787,0.014256291022275474,0.9601449275362319,0,0.0001332903612001335,0.016496948152958175,0.024003706236995218,0,2024,0.0,control:loose,11,6
24,0.9939727084543836,0.10962780143675684,0.012018254847856987,0.967391304347826,0,0.0001138367930741957,0.01812274576109797,0.026339421879284883,0,2024,0.0,control:loose,11,7
24,0.9947234744173314,0.10259244340161014,0.010525209443112582,0.9420289855072463,0,3.500687184088136e-05,0.013476623112664666,0.019572009450170416,0,2024,0.0,control:m2matched,11,0
24,0.9993116436611111,0.037097693234598335,0.001376238843328363,0.967391304347826,0,0.00013958116842172075,0.02183486107143999,0.03156502851259852,0,2024,0.0,control:m2matched,11,1
24,0.9942522757593496,0.10706265524147195,0.011462412147354282,0.9710144927536232,0,1.2707500268493988e-05,0.013351729697265795,0.01939981723710922,0,2024,0.0,control:m2matched,11,2
24,0.9967806745520602,0.08017659782966707,0.006428286839540174,0.9818840579710145,0,1.7797126005913988e-05,0.014235200410810358,0.020631018907814425,0,2024,0.0,control:m2matched,11,3
24,0.9968456881926674,0.07936418544713626,0.006298673931687435,0.9927536231884058,0,0.00013195104535113078,0.01805116580317259,0.026159776023278562,0,2024,0.0,control:m2matched,11,4
24,0.9984206038403496,0.05618093828934879,0.0031562978270716167,0.9818840579710145,0,0.00027578039407016863,0.020853548606263223,0.030173322495640125,0,2024,0.0,control:m2matched,11,5
24,0.9939553488701482,0.10978508301414062,0.012052764452421746,0.9782608695652174,0,1.7630740265062173e-05,0.015181285099778705,0.02206471700869812,0,2024,0.0,control:m2matched,11,6
24,0.9971656243888877,0.07523774011172828,0.0056607175371199666,1.0,0,0.00012856524207638387,0.01711933795198723,0.024801409754291584,0,2024,0.0,control:m2matched,11,7
24,0.9966212751083946,0.08213424378003231,0.006746034001317778,0.9963768115942029,0,8.333487353662239e-05,0.01762858434068727,0.02555312294713658,0,2024,0.0,control:marginal,11,0
24,0.9969177919257067,0.07845327362177659,0.006154916141973348,0.9963768115942029,0,0.0001228514204597575,0.016504507806979807,0.0239166270462398,0,2024,0.0,control:marginal,11,1
24,0.9967946714498989,0.08000239352099539,0.006400382969088205,0.9818840579710145,0,1.0907923227110317e-05,0.01923061199307194,0.027870457535010027,0,2024,0.0,control:marginal,11,2
24,0.992558896031435,0.12176550377204302,0.014826837908859426,0.9818840579710145,0,1.9521630954866254e-05,0.011776371347861967,0.017140042973396795,0,2024,0.0,control:marginal,11,3
24,0.9977194560469712,0.06749731124523159,0.004555887025335667,0.9891304347826086,0,0.0003485433233127999,0.01759179674076288,0.02547173089724922,0,2024,0.0,control:marginal,11,4
24,0.9980243671001771,0.06282804050972012,0.003947362674291033,0.9782608695652174,0,8.99070803310753e-05,0.018491801931964688,0.02676669737602741,1,2024,0.0004940711462450593,control:marginal,11,5
24,0.9961719436284682,0.08741543758101328,0.007641458727480028,0.9746376811594203,0,0.00010799519529858248,0.016824729220815262,0.0243989129764971,0,2024,0.0,control:marginal,11,6
24,0.9981747411817418,0.06039193710059809,0.003647186066762596,0.9927536231884058,0,0.00041750200083834343,0.02079657357482145,0.030098296193331566,0,2024,0.0,control:marginal,11,7
24,0.9949708103742788,0.10016529590208063,0.01003308650315137,0.9927536231884058,0,0.00017300488358418242,0.011603175441954307,0.01684702497221674,0,2024,0.0,control:sigshuffle,11,0
24,0.9944533959331004,0.10517815037888929,0.011062443317124249,0.9855072463768116,0,0.00012387149299386557,0.010361017283964285,0.015051322581841938,0,2024,0.0,control:sigshuffle,11,1
24,0.9968496648648867,0.07931422103735886,0.0062907456587630185,0.9601449275362319,0,7.355137279030366e-05,0.012918887799171467,0.018721996506866158,0,2024,0.0,control:sigshuffle,11,2
24,0.9958019808137757,0.09153368236535071,0.008378415007360918,0.9818840579710145,0,2.3827717710034335e-05,0.010223152560407636,0.014830935859816844,0,2024,0.0,control:sigshuffle,11,3
24,0.9982152106784465,0.05971928641724272,0.0035663931701846708,0.9710144927536232,0,3.8657474375258793e-05,0.015078209887631299,0.02182138449797879,0,2024,0.0,control:sigshuffle,11,4
24,0.9947317201995631,0.10251246182205276,0.010508804828817825,0.9891304347826086,0,4.44811087937369e-05,0.010866749688790327,0.01578157694167535,0,2024,0.0,control:sigshuffle,11,5
