family,genus,q,m,mu,mu_abs,rate,scaled_deviation,deficit,moment2,moment4,n_over_weil
E1d,1,8009,178,1.9889820120793145,1.9889820120793145,0.9975603904199657,1.9624023714841918,0.011017987920685535,0.9998751404669747,1.9796026386284964,0
E1d,1,16001,252,1.9921726714828052,1.9921726714828052,0.9983883834575418,1.9734624793156548,0.00782732851719481,0.9999375039060059,1.9919868376140997,0
E1d,1,32003,357,1.9955971284954899,1.9955971284954899,0.9989317489296908,1.9824285756327273,0.004402871504510131,0.9999687529294129,2.008739431592265,0
E1d,1,64007,504,1.9921259844950872,1.9921259844950872,0.9992917752451433,1.9829184294031217,0.007874015504912846,0.9999843767087975,1.9933688539628358,0
E1d,1,128021,715,1.9983218367751925,1.9983218367751925,0.9995266266818186,1.9918188722857133,0.0016781632248075162,0.9999921887815281,2.0005240342139263,0
E1d,1,256019,1011,1.9980900500216843,1.9980900500216843,0.9996836184034306,1.9935243368767142,0.001909949978315728,0.9999960940398954,2.0022253819378832,0
E1d,1,512009,1431,1.999865720508807,1.999865720508807,0.9997877406625816,1.9966523336337116,0.00013427949119293459,0.9999980469093317,2.000641263763661,0
E1d,1,1000003,1999,1.9989970015067466,1.9989970015067466,0.9998554733383427,1.9967130486761786,0.0010029984932533598,0.9999970000089999,2.000565398485604,0
H2,2,101,29,2.8856078516089685,2.8856078516089685,0.9481433698757494,2.4051824391626115,1.1143921483910315,0.9504950495049505,2.975806099382608,0
H2,2,211,35,2.4094993678753,2.8225564023682086,0.9721227683647022,2.167182394789493,1.5905006321247002,1.1090047393364928,4.371228828485115,0
H2,2,401,54,2.6966313149701806,3.0961322505213182,0.9793578672740326,2.4776542195797355,1.3033686850298194,0.9875311720698254,2.8243924923172568,0
H2,2,1009,99,3.1166613226017654,3.1166613226017654,0.986648689997643,2.933386881255139,0.8833386773982346,1.0525272547076314,3.3911179670973683,0
H2,2,2003,145,3.239869575723451,3.6420602816753274,0.9908904515349044,3.0994748587739664,0.7601304242765492,0.9995007488766849,2.935913154731208,0
H2,2,4001,201,3.17769186180911,3.3357859842871753,0.9941250848889762,3.08223388343832,0.8223081381908899,0.9987503124218945,2.9523713806612397,0
H2,2,8009,307,3.4304352680244357,3.4304352680244357,0.9958325144395423,3.3522919461782124,0.5695647319755643,0.9998751404669747,2.955318480593712,0
H2,2,16001,444,3.510018516422085,3.510018516422085,0.9971805841816489,3.452441188409529,0.4899814835779148,0.9996875195300293,2.9906171915156983,0
H2,2,32003,618,3.4545630963871505,3.460153004310107,0.998159613658252,3.4153342556722026,0.5454369036128495,0.9999687529294129,2.9693907111903663,0
H2,2,64007,908,3.588988876828451,3.7312835900066714,0.9987287717303097,3.55924012350754,0.4110111231715492,0.9999843767087975,3.018810949088838,0
H2,2,128021,1339,3.7423118034153604,3.7423118034153604,0.9991160077369721,3.7195853775999423,0.2576881965846396,0.9999609439076401,3.001511326954339,0
H2,2,256019,1888,3.7313491735320867,3.7313491735320867,0.9994103382496313,3.7154659519751307,0.2686508264679133,0.9999960940398954,2.998796011899275,0
H2,2,512009,2707,3.783114259550902,3.783114259550902,0.9995990464106742,3.7716358184423786,0.21688574044909803,0.9999980469093317,3.001791751098925,0
H2,2,1000003,3684,3.6839944740124335,3.6839944740124335,0.9997339048472451,3.676246704950155,0.3160055259875665,1.0003829988510033,3.0021030779498643,0
H2b,2,101,21,2.089578099440977,3.1841190086719653,0.960678663533522,1.8237781307225656,1.9104219005590228,1.0297029702970297,3.4131346082358456,0
H2b,2,211,41,2.8225564023682086,2.8225564023682086,0.9678862046650689,2.49653383055488,1.1774435976317914,0.909952606635071,2.511510889317795,0
H2b,2,401,44,2.197255145531258,2.596756081082396,0.9829269290529721,2.0492633602667385,1.802744854468742,0.85785536159601,1.978183501886077,0
H2b,2,1009,96,3.0222170400986816,3.1166613226017654,0.9870304261608039,2.8495164705673997,0.9777829599013184,1.0545094152626362,3.232726569411844,0
H2b,2,2003,138,3.083462078964388,3.195181719506576,0.9913122040476764,2.9559758351977403,0.9165379210356122,0.9865202196704943,2.9064426597339996,0
H2b,2,4001,204,3.2251200985525297,3.2251200985525297,0.9940400542545695,3.1268446220695463,0.7748799014474703,0.9792551862034491,2.930772590460251,0
H2b,2,8009,323,3.609220167986621,3.609220167986621,0.9956204882106982,3.522844143425631,0.39077983201337885,1.0265950805343989,3.173446290934051,0
H2b,2,16001,441,3.486302175094909,3.549545751967379,0.9971993250274994,3.429492580510393,0.513697824905091,1.0051871758015125,3.0057569449889914,0
