A_inf,a,b,block,chi,hi,known_spread,lambda_c,"lc_[-14,14]","lc_[-20,6]","lc_[-24,24]","lc_[-6,20]","lc_[-8,8]",lo,max_interior,max_spread,median_spread,min_interior,n_all_interior,n_cycles,n_same_bucket,n_sig,osc,prior,s_max,s_min,same_bucket,spread,triple,width
0.005389322035239508,"(6, 3, 3)","(7, 2, 1)",census,nan,,,,,,,,,,True,,,False,,,,,0.17584210366171693,,-0.5171235991601634,7.734700000000004,,,,
0.002125139351692673,"(7, 2, 1)","(6, 5, 1)",census,nan,,,,,,,,,,False,,,True,,,,,0.16081318088785257,,7.734700000000004,-0.20112454585622713,,,,
0.00829953217151344,"(6, 5, 1)","(6, 3, 3)",census,-0.2894276371469628,,,,,,,,,,True,,,True,,,,,0.06614031291937678,,1.0825302505381633,-1.0538600617567102,,,,
,,,known_support,,8,,230.40816046040067,,,,,,-8,,,,,,,,,,,,,,,,16
,,,known_support,,12,,286.70847617264997,,,,,,-12,,,,,,,,,,,,,,,,24
,,,known_support,,16,,323.07065961213203,,,,,,-16,,,,,,,,,,,,,,,,32
,,,known_support,,24,,371.18555448217694,,,,,,-24,,,,,,,,,,,,,,,,48
,,,known_support,,32,,403.7905109649024,,,,,,-32,,,,,,,,,,,,,,,,64
,,,known_support,,20,,349.9181628643148,,,,,,-6,,,,,,,,,,,,,,,,26
,,,known_support,,6,,184.49442846031195,,,,,,-20,,,,,,,,,,,,,,,,26
,,,known_support,,6,,184.4944310847797,,,,,,-6,,,,,,,,,,,,,,,,12
,,,known_support,,4,,100.2973956329158,,,,,,-4,,,,,,,,,,,,,,,,8
,,,known_support,,6,,184.4944284603153,,,,,,-40,,,,,,,,,,,,,,,,46
,,,known_support,,6,,184.49442881542743,,,,,,-8,,,,,,,,,,,,,,,,14
,,,known_support,,12,,286.70847617264957,,,,,,-40,,,,,,,,,,,,,,,,52
,,,known_support,,12,,286.70847617269425,,,,,,-8,,,,,,,,,,,,,,,,20
,,,known_support,,20,,349.9181628643142,,,,,,-40,,,,,,,,,,,,,,,,60
,,,known_support,,20,,349.918162864314,,,,,,-8,,,,,,,,,,,,,,,,28
,,,known_support,,,,85.79786540601465,,,,,,,,,,,,,,,,gaussian sd=2,,,,,,
,,,known_support,,,,155.11012921595756,,,,,,,,,,,,,,,,gaussian sd=4,,,,,,
,,,known_support,,,,263.1690955249817,,,,,,,,,,,,,,,,gaussian sd=8,,,,,,
,,,known_support,,,,110.53799020660993,,,,,,,,,,,,,,,,logistic sc=2,,,,,,
,,,known_support,,,,231.5968644792936,,,,,,,,,,,,,,,,logistic sc=4,,,,,,
,,,f11_census,,,,,,,,,,,,,,,73,132,73,296,,,,,,,,
,,,f11_lambda_c,,,,,1511.4086051415072,717.2199256978655,1849.2989257771408,1741.130001104856,1057.6757016894453,,,,,,,,,,,,,,False,2.5784265878806223,"(141, 142, 160)",
,,,f11_lambda_c,,,,,1524.6319583036418,725.1116738450365,1864.7616399851483,1755.8762581030219,1067.872234128837,,,,,,,,,,,,,,False,2.571688895997096,"(141, 142, 161)",
,,,f11_lambda_c,,,,,2331.075560597103,1152.336933751817,2826.627484489643,2668.132452144853,1661.5855649024772,,,,,,,,,,,,,,False,2.4529522587518002,"(141, 142, 162)",
,,,f11_lambda_c,,,,,4819.377432235174,2537.84316900007,5758.029137063186,5458.2740622276015,3537.9876614419964,,,,,,,,,,,,,,False,2.26886720479733,"(141, 142, 166)",
,,,f11_lambda_c,,,,,5304.548953708736,2829.016188431527,6320.644684154053,5996.201959743453,3915.982656633021,,,,,,,,,,,,,,False,2.2342200479447825,"(141, 142, 175)",
,,,f11_lambda_c,,,,,8747.273557532277,4896.710095511622,10304.431580202978,9807.679083356825,6605.070257599891,,,,,,,,,,,,,,False,2.104358105587695,"(141, 158, 153)",
,,,f11_lambda_c,,,,,1467.2229362657436,,1789.3024440250892,1686.1567015064463,1035.596757151685,,,,,,,,,,,,,,False,nan,"(141, 159, 153)",
,,,f11_lambda_c,,,,,5304.548953708736,,6320.644684154053,5996.201959743453,3915.982656633021,,,,,,,,,,,,,,False,nan,"(142, 175, 154)",
,,,f11_lambda_c,,,,,5738.020423263371,,6846.993746038399,6493.816872510411,4198.631975981081,,,,,,,,,,,,,,False,nan,"(148, 175, 154)",
,,,f11_lambda_c,,,,,4706.9121591036055,2246.718974317144,5670.8923048430615,5364.311054074116,3358.5655058049597,,,,,,,,,,,,,,False,2.524077274313599,"(149, 163, 154)",
,,,f11_lambda_c,,,,,2563.6751784997396,1159.702051696422,3123.4308125834377,2945.212179885735,1786.839529106605,,,,,,,,,,,,,,False,2.693304550090652,"(149, 164, 154)",
,,,f11_lambda_c,,,,,7939.971135078434,4021.3053053140447,9454.593889024873,8973.246584735698,5809.165565465341,,,,,,,,,,,,,,False,2.3511256100179425,"(149, 174, 154)",
,,,f11_lambda_c,,,,,7939.971135078434,,9454.593889024873,8973.246584735698,5809.165565465341,,,,,,,,,,,,,,False,nan,"(149, 174, 155)",
,,,f11_lambda_c,,,,,1098.256437556628,,1363.688837183797,1279.0587929917474,733.6045574232006,,,,,,,,,,,,,,False,nan,"(149, 175, 154)",
,,,f11_lambda_c,,,,,2817.955201234631,1330.9577733628146,3411.9277674328773,3222.774426404914,1994.4057251612282,,,,,,,,,,,,,,False,2.563513160009771,"(149, 189, 154)",
,,,f11_lambda_c,,,,,2817.955201234631,1330.9577733628146,3411.9277674328773,3222.774426404914,1994.4057251612282,,,,,,,,,,,,,,False,2.563513160009771,"(149, 189, 169)",
,,,f11_lambda_c,,,,,468159.7477949629,468159.7478281031,468159.74782859086,468159.7478463524,468159.747757773,,,,,,,,,,,,,,False,1.0000000001892078,"(149, 189, 170)",
,,,f11_lambda_c,,,,,2817.955201234631,1330.9577733628146,3411.9277674328773,3222.774426404914,1994.4057251612282,,,,,,,,,,,,,,False,2.563513160009771,"(149, 189, 176)",
,,,f11_lambda_c,,,,,35218.51416303493,1045.5539107836294,46087.74707464118,43083.43744327436,8703.790187500224,,,,,,,,,,,,,,False,44.07974242102829,"(155, 189, 169)",
,,,f11_lambda_c,,,,,468159.7477949629,468159.7478281031,468159.74782859086,468159.7478463524,468159.747757773,,,,,,,,,,,,,,False,1.0000000001892078,"(155, 189, 170)",
,,,f11_lambda_c,,,,,35218.51416303493,,46087.74707464118,43083.43744327436,8703.790187500224,,,,,,,,,,,,,,False,nan,"(155, 189, 174)",
,,,f11_lambda_c,,,,,35218.51416303493,1045.5539107836294,46087.74707464118,43083.43744327436,8703.790187500224,,,,,,,,,,,,,,False,44.07974242102829,"(155, 189, 176)",
,,,f11_lambda_c,,,,,13619.332483399,,17669.05185861902,16504.31117779985,,,,,,,,,,,,,,,False,nan,"(156, 187, 167)",
,,,f11_lambda_c,,,,,2272.2407657304707,,3061.2143858958593,2827.39524017352,822.5402082763657,,,,,,,,,,,,,,False,nan,"(157, 199, 232)",
,,,f11_lambda_c,,,,,2272.2407657304707,,3061.2143858958593,2827.39524017352,822.5402082763657,,,,,,,,,,,,,,False,nan,"(157, 199, 233)",
,,,f11_lambda_c,,,,,70182.39739025338,47105.257495889506,79961.07631671277,76824.64991151837,57088.507628044004,,,,,,,,,,,,,,False,1.6974979135543486,"(157, 199, 234)",
