n,k_max,c_n,candidate_curve_count,candidate_curve_ids,minimum_cover_curve_id,color
76,47,0.618421052631579,7,e_p1_1__d_p29_1;e_p1_2__d_m9_1;e_p2_3__d_p11_3;e_p5_8__d_p1_2;e_p12_19__d_p1_1;e_p41_65__d_p61_65;e_p53_84__d_p20_21,e_p5_8__d_p1_2,#60a5fa
77,48,0.623376623376623,7,e_p1_1__d_p29_1;e_p1_2__d_m19_2;e_p2_3__d_p10_3;e_p5_8__d_p1_8;e_p12_19__d_p12_19;e_p41_65__d_p37_65;e_p53_84__d_p7_12,e_p5_8__d_p1_8,#fb7185
78,49,0.628205128205128,7,e_p1_1__d_p29_1;e_p1_2__d_m10_1;e_p2_3__d_p3_1;e_p5_8__d_m1_4;e_p12_19__d_p5_19;e_p41_65__d_p1_5;e_p53_84__d_p3_14,e_p5_8__d_m1_4,#4ade80
79,49,0.620253164556962,7,e_p1_1__d_p30_1;e_p1_2__d_m19_2;e_p2_3__d_p11_3;e_p5_8__d_p3_8;e_p12_19__d_p17_19;e_p41_65__d_p54_65;e_p53_84__d_p71_84,e_p5_8__d_p3_8,#2dd4bf
80,50,0.625000000000000,7,e_p1_1__d_p30_1;e_p1_2__d_m10_1;e_p2_3__d_p10_3;e_p5_8__d_p0_1;e_p12_19__d_p10_19;e_p41_65__d_p6_13;e_p53_84__d_p10_21,e_p5_8__d_p0_1,#c084fc
81,51,0.629629629629630,7,e_p1_1__d_p30_1;e_p1_2__d_m21_2;e_p2_3__d_p3_1;e_p5_8__d_m3_8;e_p12_19__d_p3_19;e_p41_65__d_p6_65;e_p53_84__d_p3_28,e_p5_8__d_m3_8,#818cf8
82,51,0.621951219512195,7,e_p1_1__d_p31_1;e_p1_2__d_m10_1;e_p2_3__d_p11_3;e_p5_8__d_p1_4;e_p12_19__d_p15_19;e_p41_65__d_p47_65;e_p53_84__d_p31_42,e_p5_8__d_p1_4,#f472b6
83,52,0.626506024096386,7,e_p1_1__d_p31_1;e_p1_2__d_m21_2;e_p2_3__d_p10_3;e_p5_8__d_m1_8;e_p12_19__d_p8_19;e_p41_65__d_p23_65;e_p53_84__d_p31_84,e_p5_8__d_m1_8,#fb923c
84,52,0.619047619047619,7,e_p1_1__d_p32_1;e_p1_2__d_m10_1;e_p2_3__d_p4_1;e_p5_8__d_p1_2;e_p12_19__d_p20_19;e_p41_65__d_p64_65;e_p53_84__d_p1_1,e_p5_8__d_p1_2,#60a5fa
85,53,0.623529411764706,7,e_p1_1__d_p32_1;e_p1_2__d_m21_2;e_p2_3__d_p11_3;e_p5_8__d_p1_8;e_p12_19__d_p13_19;e_p41_65__d_p8_13;e_p53_84__d_p53_84,e_p5_8__d_p1_8,#fb7185
86,54,0.627906976744186,7,e_p1_1__d_p32_1;e_p1_2__d_m11_1;e_p2_3__d_p10_3;e_p5_8__d_m1_4;e_p12_19__d_p6_19;e_p41_65__d_p16_65;e_p53_84__d_p11_42,e_p5_8__d_m1_4,#4ade80
87,54,0.620689655172414,7,e_p1_1__d_p33_1;e_p1_2__d_m21_2;e_p2_3__d_p4_1;e_p5_8__d_p3_8;e_p12_19__d_p18_19;e_p41_65__d_p57_65;e_p53_84__d_p25_28,e_p5_8__d_p3_8,#2dd4bf
