q,implementer,implemented,rate,contact_beta,closed_form
27,L,L,1.000000000000000,0,
27,L,A,0.989086010759597,inf,0.989086010759597
27,L,X,0.830124569620279,inf,0.830124569620279
27,A,S,0.835351676336044,inf,0.835351676336044
27,A,L,0.997018247118905,0.3020,
27,A,A,1.000000000000000,0,
27,A,X,0.839284511751168,inf,0.839284511751168
27,X,S,0.905817287760818,4.5514,
27,X,L,0.999353696904900,0.4404,
27,X,A,0.999355598385145,1.4860,
27,X,X,1.000000000000000,0,
31,S,S,1.000000000000000,0,
31,S,L,0.807396346328399,0,0.807396346328399
31,S,A,0.807396346328399,0,0.807396346328399
31,S,X,0.807396346328399,0,0.807396346328399
31,L,S,0.832051221042958,inf,0.832051221042958
31,L,L,1.000000000000000,0,
31,L,A,0.990839262077375,inf,0.990839262077375
31,L,X,0.835342391410424,inf,0.835342391410424
31,A,S,0.839743894785210,inf,0.839743894785210
31,A,L,0.997412907309021,0.2981,
31,A,A,1.000000000000000,0,
31,A,X,0.843065493447505,inf,0.843065493447505
31,X,S,0.906797243874487,4.6718,
31,X,L,0.999459230613025,0.4407,
31,X,A,0.999449079182896,1.4855,
31,X,X,1.000000000000000,0,
49,S,S,1.000000000000000,0,
49,S,L,0.827087475346916,0,0.827087475346916
49,S,A,0.827087475346916,0,0.827087475346916
49,S,X,0.827087475346916,0,0.827087475346916
49,L,S,0.848821789078223,inf,0.848821789078223
49,L,L,1.000000000000000,0,
49,L,A,0.994835739133055,inf,0.994835739133055
49,L,X,0.850724847186704,inf,0.850724847186704
49,A,S,0.853228081469937,inf,0.853228081469937
49,A,L,0.998389777180128,0.2857,
49,A,A,1.000000000000000,0,
49,A,X,0.855141018484181,inf,0.855141018484181
49,X,S,0.910144863389250,5.0897,
49,X,L,0.999697440170337,0.4415,
49,X,A,0.999674610734770,1.4839,
49,X,X,1.000000000000000,0,
64,S,S,1.000000000000000,0,
64,S,L,0.833333333333333,0,0.833333333333333
64,S,A,0.833333333333333,0,0.833333333333333
64,S,X,0.833333333333333,0,0.833333333333333
64,L,S,0.857142857142857,inf,0.857142857142857
64,L,L,1.000000000000000,0,
64,L,A,0.996285877295627,inf,0.996285877295627
64,L,X,0.858530649029924,inf,0.858530649029924
64,A,S,0.860338259004065,inf,0.860338259004065
64,A,L,0.998781389394409,0.2790,
64,A,A,1.000000000000000,0,
64,A,X,0.861731224536041,inf,0.861731224536041
64,X,S,0.911664752467103,5.3304,
64,X,L,0.999783032936873,0.4417,
64,X,A,0.999761405909839,1.4830,
64,X,X,1.000000000000000,0,
101,S,S,1.000000000000000,0,
101,S,L,0.851944303160992,0,0.851944303160992
101,S,A,0.851944303160992,0,0.851944303160992
101,S,X,0.851944303160992,0,0.851944303160992
101,L,S,0.869421208561261,inf,0.869421208561261
