window_low,window_high,p,K,C_xi_to_P,C_P_to_xi,product,d
1.0,10.0,2,2,0.011864090806,6.416441740073,0.076125247455,2.575375302312
1.0,10.0,2,4,0.006722929741,12.832431291606,0.086271533985,2.450255584843
1.0,10.0,2,8,0.003701906113,25.664410393812,0.095007237722,2.353802203733
1.0,10.0,2,16,0.001959219723,51.328368598222,0.100563552088,2.296965392248
1.0,10.0,2,32,0.001009294355,102.656285007043,0.103610408979,2.267117481438
1.0,10.0,2,64,0.000512410980,205.312117824684,0.105204183563,2.251852211759
1.0,10.0,2,128,0.000258191579,410.623783459967,0.106019603118,2.244131266890
1.0,10.0,3,1,0.016653356860,5.084559259518,0.084674979824,2.468935118552
1.0,10.0,3,2,0.009000744846,10.169110681409,0.091529570551,2.391093183490
1.0,10.0,3,4,0.004813899708,20.338213524926,0.097906120155,2.323746217043
1.0,10.0,3,8,0.002510949506,40.676419211958,0.102136434727,2.281445764115
1.0,10.0,3,16,0.001283774605,81.352830586024,0.104438697945,2.259155002243
1.0,10.0,3,32,0.000649206064,162.705653334155,0.105629496739,2.247817621535
1.0,10.0,3,64,0.000326464195,325.411298830417,0.106235137609,2.242100362293
1.0,10.0,3,128,0.000163701401,650.822589822941,0.106540569935,2.239229428018
1.0,10.0,5,1,0.012884795702,7.448733244997,0.095975406103,2.343663306767
1.0,10.0,5,2,0.006722929741,14.897466442601,0.100154620219,2.301040084948
1.0,10.0,5,4,0.003466135310,29.794932837810,0.103273268754,2.270376709295
1.0,10.0,5,8,0.001762506912,59.589865628228,0.105027550049,2.253532581823
1.0,10.0,5,16,0.000888824257,119.179731209063,0.105929836042,2.244978328171
1.0,10.0,5,32,0.000446329333,238.359462370734,0.106386819842,2.240673583409
1.0,10.0,5,64,0.000223647076,476.718924694076,0.106616793518,2.238514241966
1.0,10.0,5,128,0.000111944532,953.437849340759,0.106732153605,2.237432820189
1.0,10.0,7,1,0.011102237907,9.005979924717,0.099986531706,2.302719785000
1.0,10.0,7,2,0.005710156310,18.011959847796,0.102851106180,2.274472907665
1.0,10.0,7,4,0.002908444800,36.023919693954,0.104773581924,2.255953619756
1.0,10.0,7,8,0.001468470234,72.047839386270,0.105800107584,2.246203742692
1.0,10.0,7,16,0.000737852486,144.095678770903,0.106321354757,2.241289122396
1.0,10.0,7,32,0.000369837285,288.191357540167,0.106583909213,2.238822724117
1.0,10.0,7,64,0.000185147248,576.382715078695,0.106715673314,2.237587240050
1.0,10.0,7,128,0.000092630881,1152.765430155751,0.106781677610,2.236968925137
2.0,20.0,2,1,0.057240869548,1.816624102749,0.103985143283,2.263507243089
2.0,20.0,2,2,0.030259466789,3.633248080528,0.109940149627,2.207819155559
2.0,20.0,2,4,0.015796893362,7.266496036084,0.114788062995,2.164667781383
2.0,20.0,2,8,0.008096797083,14.532991947197,0.117670686804,2.139865345828
2.0,20.0,2,16,0.004100232282,29.065983769424,0.119177284962,2.127143104908
2.0,20.0,2,32,0.002063325403,58.131967413876,0.119945165066,2.120720598419
2.0,20.0,2,64,0.001034997036,116.263934702781,0.120332827802,2.117493810418
2.0,20.0,2,128,0.000518336149,232.527869280592,0.120527600386,2.115876503436
2.0,20.0,3,1,0.040009650836,2.879280882727,0.115199022777,2.161094013592
2.0,20.0,3,2,0.020423075793,5.758561765417,0.117607543392,2.140402101089
2.0,20.0,3,4,0.010343448608,11.517123530796,0.119126775353,2.127567013840
2.0,20.0,3,8,0.005206137770,23.034247061553,0.119919463636,2.120934897877
2.0,20.0,3,16,0.002611760918,46.068494123069,0.120319892496,2.117601312265
2.0,20.0,3,32,0.001308064369,92.136988246101,0.120521111430,2.115930342806
2.0,20.0,3,64,0.000654579533,184.273976492165,0.120621973492,2.115093809856
2.0,20.0,3,128,0.000327426775,368.547952984291,0.120672467857,2.114675280815
2.0,20.0,5,1,0.028275904202,4.218070251849,0.119269750360,2.126367541456
2.0,20.0,5,2,0.014220188080,8.436140503699,0.119963504633,2.120567710512
2.0,20.0,5,4,0.007132495058,16.872281007398,0.120341460896,2.117422069529
2.0,20.0,5,8,0.003571891976,33.744562014795,0.120531930284,2.115840579544
2.0,20.0,5,16,0.001787360459,67.489124029591,0.120627391734,2.115048891672
2.0,20.0,5,32,0.000894034268,134.978248059182,0.120675179186,2.114652812573
2.0,20.0,5,64,0.000447105696,269.956496118364,0.120699087113,2.114454714179
2.0,20.0,5,128,0.000223574995,539.912992236727,0.120711044630,2.114355650263
2.0,20.0,7,1,0.023549356807,5.099908265544,0.120099559427,2.119434218284
2.0,20.0,7,2,0.011804543583,10.199816531087,0.120404178782,2.116901039216
2.0,20.0,7,4,0.005910072734,20.399633062175,0.120563315154,2.115580227083
2.0,20.0,7,8,0.002956992084,40.799266124350,0.120643106978,2.114918620928
2.0,20.0,7,16,0.001478985457,81.598532248700,0.120683042523,2.114587653519
2.0,20.0,7,32,0.000739615143,163.197064497399,0.120703020211,2.114422128728
2.0,20.0,7,64,0.000369838183,326.394128994799,0.120713011536,2.114339356057
2.0,20.0,7,128,0.000184926745,652.788257989597,0.120718007819,2.114297967152
