kind,c0,c1,c2,c3,c4,c5,c6,c7
wide-cycle,16.0,3,2.SU2 x 3.SU2,USp16,2.USp6,1.640285e-01,,
wide-cycle,16.0,3,2.SU2 x 3.SU2,USp16,USp6 x USp8,1.613164e-01,,
wide-cycle,16.0,3,2.SU2 x 3.SU2,USp16,SU2 x SU2 x SU2 x SU2 x USp4,1.608922e-01,,
wide-cycle,16.0,3,3.SU2 x USp6,SU2 x USp14,SU2 x USp6 x USp6,1.105947e-01,,
wide-cycle,16.0,3,SU2 x 2.SU2 x 3.SU2,SU2 x SU2 x SU2 x USp10,SU2 x USp4 x 2.USp4,9.519598e-02,,
wide-cycle,16.0,3,2.SU2 x 3.SU2,SU2 x SU2 x USp10,USp4 x 2.USp4,9.519598e-02,,
wide-cycle,16.0,3,2.SU2 x 3.SU2,USp16,USp4 x 2.USp4,9.519598e-02,,
wide-cycle,16.0,3,2.SU2 x 3.SU2,USp16,USp4 x USp10,9.329907e-02,,
wide-cycle,16.0,3,2.SU2 x 2.SU2 x USp8,SU2 x SU2 x 2.USp6,2.SU2 x USp4 x 3.SU2,9.112188e-02,,
wide-cycle,16.0,3,2.SU2 x USp12,SU2 x 2.USp6,3.SU2 x USp8,8.381264e-02,,
wide-cycle,16.0,3,2.SU2 x USp12,SU2 x USp6 x USp8,3.SU2 x USp8,8.381264e-02,,
wide-cycle,16.0,3,2.SU2 x USp10,SU2 x SU2 x 2.USp4,3.SU2 x USp6,8.050842e-02,,
