genus,partitions,pairs,dominance_comparable,incomparable,crossing_pairs,cycles,closest_approach
1,1,0,0,0,0,0,inf
2,2,1,1,0,0,0,inf
12,8211,633,1.0,16.0,-0.2360925866,1
12,8211,552,1.0,16.0,-0.1936251426,1
12,8211,543,1.0,20.0,-0.3927482132,1
12,8211,444,1.0,22.0,-0.4791107191,1
12,81111,75,3.0,-6.0,1.3038629472,0
12,81111,741,2.0,2.0,0.7598720532,1
12,81111,732,2.0,6.0,0.5233559276,1
12,81111,7311,1.0,8.0,0.0880982503,1
12,81111,7221,1.0,10.0,-0.0994118256,1
12,81111,66,3.0,-4.0,1.3028683220,0
12,81111,651,2.0,6.0,0.7079069939,1
12,81111,642,2.0,12.0,0.3350062987,1
12,81111,6411,1.0,14.0,-0.1234124951,1
12,81111,633,2.0,14.0,0.2274261232,1
12,81111,6321,1.0,18.0,-0.4242152160,1
12,81111,6222,1.0,20.0,-0.5961357667,1
12,81111,552,2.0,14.0,0.2685904343,1
12,81111,5511,1.0,16.0,-0.1936251426,1
12,81111,543,2.0,18.0,0.0765480587,1
12,81111,5421,1.0,22.0,-0.5820259113,1
12,81111,5331,1.0,24.0,-0.6929596728,1
12,81111,5322,1.0,26.0,-0.8654249119,1
12,81111,444,2.0,20.0,-0.0070466624,1
12,81111,4431,1.0,26.0,-0.7803716262,1
12,81111,4422,1.0,28.0,-0.9532742996,1
12,81111,4332,1.0,30.0,-1.0651743815,1
12,81111,3333,1.0,32.0,-1.1775673464,1
12,741,66,1.0,-6.0,0.6001821798,0
12,732,66,1.0,-10.0,0.8761087780,0
12,732,651,0.0,0.0,0.2407538923,0
12,7311,66,2.0,-12.0,1.1520720807,0
12,7311,651,1.0,-2.0,0.5352857086,0
12,7311,642,1.0,4.0,0.2450144948,1
12,7311,633,1.0,6.0,0.1393278729,1
12,7311,552,1.0,6.0,0.1820129734,1
12,7311,543,1.0,10.0,-0.0134051055,1
12,7311,444,1.0,12.0,-0.0988004648,1
12,7221,66,2.0,-14.0,1.3215688167,0
12,7221,651,1.0,-4.0,0.7004471094,0
12,7221,642,1.0,2.0,0.4365234693,1
12,7221,6411,0.0,4.0,0.0344288622,1
12,7221,633,1.0,4.0,0.3433612354,1
12,7221,552,1.0,4.0,0.3966581618,1
12,7221,5511,0.0,6.0,-0.0362144387,1
12,7221,543,1.0,8.0,0.2044791644,1
12,7221,444,1.0,10.0,0.1213574284,1
12,72111,66,3.0,-16.0,1.6054772975,0
12,72111,651,2.0,-6.0,0.9994178653,0
12,72111,642,2.0,0.0,0.7611066176,0
12,72111,6411,1.0,2.0,0.4365234693,1
12,72111,633,2.0,2.0,0.7178016575,1
12,72111,6321,1.0,6.0,0.1393278729,1
12,72111,6222,1.0,8.0,-0.0504657607,1
12,72111,552,2.0,2.0,0.7579862252,1
12,72111,5511,1.0,4.0,0.3966581618,1
12,72111,543,2.0,6.0,0.6375774691,1
12,72111,5421,1.0,10.0,-0.0134051055,1
12,72111,5331,1.0,12.0,-0.1276951419,1
12,72111,5322,1.0,14.0,-0.3198445664,1
12,72111,444,2.0,8.0,0.5703210233,1
12,72111,4431,1.0,14.0,-0.2143608169,1
12,72111,4422,1.0,16.0,-0.4075030840,1
12,72111,4332,1.0,18.0,-0.5208155568,1
12,72111,3333,1.0,20.0,-0.6347979694,1
12,711111,66,4.0,-18.0,1.8960378105,0
12,711111,651,3.0,-8.0,1.3039683360,0
